     1         -7       -7        7 
     2         -7       -5        7 
     3         -5       -5        7 
     4         -5       -7        7 
     5         -5       -7        5 
     6         -5       -5        5 
     7         -7       -5        5 
     8         -7       -7        5 
     9         -7       -7        3 
    10         -5       -7        3 
    11         -5       -7        1 
    12         -7       -7        1 
    13         -7       -5        1 
    14         -5       -5        1 
    15         -5       -5        3 
    16         -7       -5        3 
    17         -7       -3        3 
    18         -7       -3        1 
    19         -7       -1        1 
    20         -7       -1        3 
    21         -5       -1        3 
    22         -5       -1        1 
    23         -5       -3        1 
    24         -5       -3        3 
    25         -5       -3        5 
    26         -7       -3        5 
    27         -7       -3        7 
    28         -5       -3        7 
    29         -5       -1        7 
    30         -7       -1        7 
    31         -7       -1        5 
    32         -5       -1        5 
    33         -3       -1        5 
    34         -1       -1        5 
    35         -1       -1        7 
    36         -3       -1        7 
    37         -3       -3        7 
    38         -1       -3        7 
    39         -1       -3        5 
    40         -3       -3        5 
    41         -3       -3        3 
    42         -3       -3        1 
    43         -3       -1        1 
    44         -3       -1        3 
    45         -1       -1        3 
    46         -1       -1        1 
    47         -1       -3        1 
    48         -1       -3        3 
    49         -1       -5        3 
    50         -3       -5        3 
    51         -3       -5        1 
    52         -1       -5        1 
    53         -1       -7        1 
    54         -3       -7        1 
    55         -3       -7        3 
    56         -1       -7        3 
    57         -1       -7        5 
    58         -1       -5        5 
    59         -3       -5        5 
    60         -3       -7        5 
    61         -3       -7        7 
    62         -3       -5        7 
    63         -1       -5        7 
    64         -1       -7        7 
    65          1       -7        7 
    66          3       -7        7 
    67          3       -7        5 
    68          1       -7        5 
    69          1       -5        5 
    70          3       -5        5 
    71          3       -5        7 
    72          1       -5        7 
    73          1       -3        7 
    74          1       -3        5 
    75          1       -1        5 
    76          1       -1        7 
    77          3       -1        7 
    78          3       -1        5 
    79          3       -3        5 
    80          3       -3        7 
    81          5       -3        7 
    82          5       -1        7 
    83          7       -1        7 
    84          7       -3        7 
    85          7       -3        5 
    86          7       -1        5 
    87          5       -1        5 
    88          5       -3        5 
    89          5       -5        5 
    90          5       -5        7 
    91          5       -7        7 
    92          5       -7        5 
    93          7       -7        5 
    94          7       -7        7 
    95          7       -5        7 
    96          7       -5        5 
    97          7       -5        3 
    98          7       -5        1 
    99          7       -7        1 
   100          7       -7        3 
   101          5       -7        3 
   102          5       -7        1 
   103          5       -5        1 
   104          5       -5        3 
   105          5       -3        3 
   106          5       -1        3 
   107          7       -1        3 
   108          7       -3        3 
   109          7       -3        1 
   110          7       -1        1 
   111          5       -1        1 
   112          5       -3        1 
   113          3       -3        1 
   114          3       -3        3 
   115          3       -1        3 
   116          3       -1        1 
   117          1       -1        1 
   118          1       -1        3 
   119          1       -3        3 
   120          1       -3        1 
   121          1       -5        1 
   122          3       -5        1 
   123          3       -5        3 
   124          1       -5        3 
   125          1       -7        3 
   126          3       -7        3 
   127          3       -7        1 
   128          1       -7        1 
   129          1       -7       -1 
   130          1       -7       -3 
   131          1       -5       -3 
   132          1       -5       -1 
   133          3       -5       -1 
   134          3       -5       -3 
   135          3       -7       -3 
   136          3       -7       -1 
   137          5       -7       -1 
   138          5       -5       -1 
   139          7       -5       -1 
   140          7       -7       -1 
   141          7       -7       -3 
   142          7       -5       -3 
   143          5       -5       -3 
   144          5       -7       -3 
   145          5       -7       -5 
   146          7       -7       -5 
   147          7       -7       -7 
   148          5       -7       -7 
   149          5       -5       -7 
   150          7       -5       -7 
   151          7       -5       -5 
   152          5       -5       -5 
   153          3       -5       -5 
   154          3       -7       -5 
   155          1       -7       -5 
   156          1       -5       -5 
   157          1       -5       -7 
   158          1       -7       -7 
   159          3       -7       -7 
   160          3       -5       -7 
   161          3       -3       -7 
   162          3       -1       -7 
   163          1       -1       -7 
   164          1       -3       -7 
   165          1       -3       -5 
   166          1       -1       -5 
   167          3       -1       -5 
   168          3       -3       -5 
   169          5       -3       -5 
   170          7       -3       -5 
   171          7       -3       -7 
   172          5       -3       -7 
   173          5       -1       -7 
   174          7       -1       -7 
   175          7       -1       -5 
   176          5       -1       -5 
   177          5       -1       -3 
   178          5       -3       -3 
   179          7       -3       -3 
   180          7       -1       -3 
   181          7       -1       -1 
   182          7       -3       -1 
   183          5       -3       -1 
   184          5       -1       -1 
   185          3       -1       -1 
   186          3       -1       -3 
   187          3       -3       -3 
   188          3       -3       -1 
   189          1       -3       -1 
   190          1       -3       -3 
   191          1       -1       -3 
   192          1       -1       -1 
   193         -1       -1       -1 
   194         -3       -1       -1 
   195         -3       -1       -3 
   196         -1       -1       -3 
   197         -1       -3       -3 
   198         -3       -3       -3 
   199         -3       -3       -1 
   200         -1       -3       -1 
   201         -1       -5       -1 
   202         -1       -5       -3 
   203         -1       -7       -3 
   204         -1       -7       -1 
   205         -3       -7       -1 
   206         -3       -7       -3 
   207         -3       -5       -3 
   208         -3       -5       -1 
   209         -5       -5       -1 
   210         -5       -7       -1 
   211         -7       -7       -1 
   212         -7       -5       -1 
   213         -7       -5       -3 
   214         -7       -7       -3 
   215         -5       -7       -3 
