     1         -3       -3        3 
     2         -3       -3        1 
     3         -3       -1        1 
     4         -3       -1        3 
     5         -1       -1        3 
     6         -1       -1        1 
     7         -1       -3        1 
     8         -1       -3        3 
     9          1       -3        3 
    10          1       -1        3 
    11          3       -1        3 
    12          3       -3        3 
    13          3       -3        1 
    14          3       -1        1 
    15          1       -1        1 
    16          1       -3        1 
    17          1       -3       -1 
    18          3       -3       -1 
    19          3       -3       -3 
    20          1       -3       -3 
    21          1       -1       -3 
    22          3       -1       -3 
    23          3       -1       -1 
    24          1       -1       -1 
    25         -1       -1       -1 
    26         -1       -3       -1 
    27         -3       -3       -1 
    28         -3       -1       -1 
    29         -3       -1       -3 
    30         -3       -3       -3 
    31         -1       -3       -3 
    32         -1       -1       -3 
    33         -1        1       -3 
    34         -1        3       -3 
    35         -3        3       -3 
    36         -3        1       -3 
    37         -3        1       -1 
    38         -3        3       -1 
    39         -1        3       -1 
    40         -1        1       -1 
    41          1        1       -1 
    42          3        1       -1 
    43          3        1       -3 
    44          1        1       -3 
    45          1        3       -3 
    46          3        3       -3 
    47          3        3       -1 
    48          1        3       -1 
    49          1        3        1 
    50          1        1        1 
    51          3        1        1 
    52          3        3        1 
    53          3        3        3 
    54          3        1        3 
    55          1        1        3 
    56          1        3        3 
    57         -1        3        3 
    58         -1        3        1 
    59         -1        1        1 
    60         -1        1        3 
    61         -3        1        3 
    62         -3        1        1 
    63         -3        3        1 
    64         -3        3        3 
